Vin,Vo,D1,D2,DT,Fs,Po,PIron,PCond,PCopp,PSw,Ploss
450.00,831.32,0.55,0.45,0.00,100000.00,1535.78,7.63,2.88,0.42,28.75,39.68
450.00,831.15,0.55,0.45,0.00,100000.00,1727.04,8.07,3.32,0.42,26.25,38.06
450.00,830.93,0.55,0.45,0.00,100000.00,1972.68,8.56,3.92,0.42,21.88,34.78
450.00,830.61,0.55,0.45,0.00,100000.00,2299.71,9.07,4.80,0.42,25.28,39.57
450.00,830.15,0.55,0.45,0.00,100000.00,2756.60,9.55,6.18,0.42,33.47,49.62
450.00,829.44,0.55,0.45,0.00,100000.00,3439.85,9.86,8.54,0.42,35.31,54.12
450.00,828.22,0.55,0.45,0.00,100000.00,4573.01,9.64,13.27,0.41,44.06,67.39
450.00,825.76,0.55,0.45,0.00,100000.00,6818.72,8.05,25.65,0.41,59.86,93.97
450.00,816.35,0.55,0.45,0.00,50000.00,1480.93,17.63,3.60,1.56,6.38,29.16
450.00,816.25,0.55,0.45,0.01,50000.00,1480.58,17.62,3.56,1.55,6.38,29.11
450.00,816.21,0.55,0.45,0.03,50000.00,1480.46,17.61,3.55,1.55,6.38,29.09
450.00,816.21,0.55,0.45,0.02,50000.00,1480.44,17.61,3.55,1.55,6.38,29.09
450.00,816.14,0.55,0.45,0.00,50000.00,1665.21,18.46,3.97,1.55,7.49,31.47
450.00,815.86,0.55,0.45,0.00,50000.00,1901.78,13.38,4.48,1.55,16.65,36.07
450.00,815.50,0.55,0.45,0.00,50000.00,2216.79,14.43,5.26,1.55,16.19,37.42
450.00,815.31,0.55,0.45,0.03,25000.00,1477.16,29.24,6.05,6.19,4.98,46.46
450.00,815.22,0.55,0.45,0.01,25000.00,1476.87,29.23,6.04,6.18,4.98,46.44
450.00,815.16,0.55,0.45,0.02,25000.00,1476.62,29.21,6.04,6.18,4.98,46.41
450.00,815.09,0.55,0.45,0.03,25000.00,1660.95,29.29,6.37,6.18,5.12,46.96
450.00,815.02,0.55,0.45,0.01,25000.00,1660.63,29.28,6.36,6.18,5.12,46.93
450.00,815.00,0.55,0.45,0.00,50000.00,2656.93,15.49,6.49,1.54,17.96,41.47
450.00,814.96,0.55,0.45,0.02,25000.00,1660.39,29.27,6.35,6.17,5.12,46.91
450.00,814.82,0.55,0.45,0.03,25000.00,1896.97,29.40,6.82,6.17,5.36,47.75
450.00,814.75,0.55,0.45,0.01,25000.00,1896.64,29.38,6.81,6.17,5.36,47.72
450.00,814.70,0.55,0.45,0.02,25000.00,1896.39,29.37,6.81,6.17,5.36,47.70
450.00,814.59,0.55,0.45,0.00,25000.00,1474.58,29.11,5.17,6.16,4.98,45.43
450.00,814.46,0.55,0.45,0.03,25000.00,2211.17,29.62,7.52,6.16,5.64,48.93
450.00,814.41,0.55,0.45,0.01,25000.00,2210.85,29.61,7.50,6.16,5.64,48.90
450.00,814.36,0.55,0.45,0.00,25000.00,1657.96,29.16,5.32,6.15,5.11,45.75
450.00,814.36,0.55,0.45,0.02,25000.00,2210.61,29.60,7.50,6.15,5.64,48.89
450.00,814.28,0.55,0.45,0.00,50000.00,3315.24,16.33,8.64,1.54,20.25,46.76
450.00,814.08,0.55,0.45,0.00,25000.00,1893.48,29.26,5.59,6.14,5.35,46.34
450.00,813.96,0.55,0.45,0.03,25000.00,2650.13,30.16,8.64,6.14,5.51,50.45
450.00,813.91,0.55,0.45,0.01,25000.00,2649.83,30.15,8.62,6.14,5.51,50.42
450.00,813.88,0.55,0.45,0.02,25000.00,2649.62,30.14,8.62,6.14,5.51,50.41
450.00,813.78,0.55,0.45,0.01,50000.00,1655.58,18.21,3.88,1.53,7.38,31.00
450.00,813.71,0.55,0.45,0.00,25000.00,2207.05,29.49,6.08,6.13,5.63,47.33
450.00,813.25,0.55,0.45,0.00,25000.00,2645.52,30.03,6.99,6.12,5.51,48.65
450.00,813.08,0.55,0.45,0.00,50000.00,4407.36,16.36,13.00,1.53,21.97,52.85
450.00,812.52,0.55,0.45,0.00,25000.00,3300.91,31.60,8.83,6.09,6.05,52.58
450.00,811.38,0.55,0.45,0.00,25000.00,4388.95,28.06,12.94,6.05,15.14,62.19
450.00,810.72,0.55,0.45,0.00,50000.00,6572.70,14.05,24.51,1.51,30.39,70.47
450.00,810.17,0.55,0.45,0.01,25000.00,3281.91,31.20,10.54,6.01,5.97,53.72
450.00,809.17,0.55,0.45,0.00,25000.00,6547.61,25.63,24.47,5.98,18.60,74.68
450.00,801.99,0.55,0.45,0.01,100000.00,1429.29,6.19,2.66,0.36,29.42,38.63
450.00,801.80,0.55,0.45,0.01,100000.00,1607.21,6.56,3.04,0.36,28.73,38.69
450.00,801.56,0.55,0.45,0.01,100000.00,1835.71,6.97,3.58,0.36,25.52,36.43
450.00,801.29,0.55,0.45,0.01,50000.00,1834.46,12.09,4.26,1.43,15.87,33.65
450.00,801.24,0.55,0.45,0.01,100000.00,2139.96,7.42,4.35,0.36,21.36,33.48
450.00,800.98,0.55,0.45,0.02,50000.00,1603.94,16.90,3.76,1.43,6.72,28.81
450.00,800.97,0.55,0.45,0.01,50000.00,2138.51,13.06,4.99,1.43,16.70,36.18
450.00,800.79,0.55,0.45,0.01,100000.00,2565.08,7.86,5.56,0.36,30.00,43.78
450.00,800.53,0.55,0.45,0.01,50000.00,2563.37,14.05,6.15,1.42,16.78,38.41
450.00,800.12,0.55,0.45,0.01,100000.00,3200.93,8.20,7.65,0.36,32.11,48.32
450.00,799.85,0.55,0.45,0.01,50000.00,3198.82,14.89,8.18,1.42,19.77,44.26
450.00,798.99,0.55,0.45,0.01,100000.00,4255.95,8.17,11.82,0.35,40.81,61.15
450.00,798.92,0.55,0.45,0.02,25000.00,3191.40,29.28,10.16,5.64,5.64,50.72
450.00,798.73,0.55,0.45,0.01,50000.00,4253.15,15.04,12.28,1.41,22.39,51.12
450.00,797.68,0.55,0.45,0.01,25000.00,4241.95,25.90,14.08,5.60,14.49,60.08
450.00,796.77,0.55,0.45,0.01,100000.00,6348.36,7.04,22.68,0.35,54.71,84.78
450.00,796.50,0.55,0.45,0.01,50000.00,6344.18,13.12,23.08,1.39,30.53,68.13
450.00,795.45,0.55,0.45,0.01,25000.00,6327.43,23.95,24.65,5.53,18.65,72.79
450.00,789.69,0.55,0.45,0.03,50000.00,1559.01,15.80,3.64,1.34,6.07,26.85
